COUNTRY,PERNUM,AGE,SEX,MARST,INDIG,EDATTAIN,YRSCHOOL,EMPSTAT,INCEARN
484,1,48,1,2,2,2,6,1,99999998
484,9,25,1,3,2,3,12,1,5143
484,1,85,2,4,2,1,0,3,99999999
840,1,47,2,2,2,4,13,3,0
484,2,16,2,1,1,2,10,3,99999999
484,3,8,1,1,2,1,2,0,99999999
484,2,57,2,2,2,2,6,3,99999999
484,5,29,1,2,2,3,12,1,8000
484,9,13,1,1,1,1,4,3,99999999
484,1,36,1,2,1,2,6,3,99999999
484,1,29,1,2,2,3,16,1,6000
840,2,49,2,2,2,3,12,1,25000
484,1,39,1,2,1,2,9,1,4000
840,3,23,2,1,2,4,13,1,9200
484,3,11,2,1,2,2,6,0,99999999
484,2,31,2,2,2,3,14,3,99999999
484,4,19,1,9,2,2,10,3,99999999
484,2,11,1,1,2,1,5,0,99999999
484,2,9,2,1,1,1,3,0,99999999
484,3,15,1,1,1,2,8,3,99999999
484,7,4,2,1,1,1,0,0,99999999
484,3,62,2,2,2,2,6,3,99999999
484,2,20,1,1,2,3,12,2,99999999
484,4,9,2,1,2,1,4,0,99999999
484,3,24,2,2,2,3,12,3,99999999
484,2,46,2,2,1,2,6,3,99999999
484,1,47,1,2,2,1,3,1,99999998
484,2,0,2,1,2,0,99,0,99999999
840,1,73,2,4,2,3,12,3,0
484,2,17,2,1,1,3,12,3,99999999
840,2,81,2,2,2,3,12,3,0
484,1,42,1,2,2,3,12,1,6000
484,1,53,2,4,1,2,6,1,5143
484,5,25,1,1,2,2,9,1,7714
840,2,57,1,2,2,3,12,1,50000
484,4,25,1,2,2,2,6,3,99999999
484,1,70,2,4,2,1,1,3,99999999
840,4,50,1,1,2,3,12,2,23500
484,7,20,2,2,2,3,12,1,4286
484,1,55,2,2,2,1,0,3,99999999
484,3,23,2,2,2,4,17,2,99999999
484,4,20,2,1,2,3,13,3,99999999
484,3,9,1,1,2,1,3,0,99999999
484,6,17,1,1,1,2,6,3,99999999
484,1,34,2,2,2,2,9,3,99999999
484,1,60,1,4,2,2,6,1,5143
